pothole_id,confidence,frame_number,original_frame_number,frames_visible,bbox_x,bbox_y,bbox_w,bbox_h,latitude,longitude,altitude,speed,image_filename
pothole_001,0.8713,0,1364,31,2256.28,563.24,188.82,63.88,,,,,pothole_001_frame_1364.jpg
pothole_002,0.8601,0,744,50,1412.16,567.85,172.79,55.21,,,,,pothole_002_frame_744.jpg
pothole_003,0.8359,0,868,36,2966.73,453.04,126.32,34.04,,,,,pothole_003_frame_868.jpg
pothole_004,0.9177,0,589,20,1894.01,1423.93,282.39,172.9,,,,,pothole_004_frame_589.jpg
pothole_005,0.8469,0,651,23,2504.56,353.02,145.89,39.52,,,,,pothole_005_frame_651.jpg
pothole_006,0.8708,0,868,49,2292.42,395.74,182.05,42.41,,,,,pothole_006_frame_868.jpg
pothole_007,0.8754,0,868,30,2632.29,555.85,189.97,60.86,,,,,pothole_007_frame_868.jpg
pothole_008,0.6488,2,279,5,1316.32,471.26,99.3,44.37,,,,,pothole_008_frame_279.jpg
pothole_009,0.9169,20,620,19,1891.07,1593.85,313.77,210.43,,,,,pothole_009_frame_620.jpg
pothole_010,0.5278,21,651,1,1713.63,575.35,53.72,19.87,,,,,pothole_010_frame_651.jpg
pothole_012,0.7041,22,682,1,2612.82,959.26,143.41,61.76,,,,,pothole_012_frame_682.jpg
pothole_013,0.5803,23,713,8,1667.63,742.04,63.66,25.15,,,,,pothole_013_frame_713.jpg
pothole_014,0.7658,23,713,1,2700.99,1130.18,161.03,72.23,,,,,pothole_014_frame_713.jpg
pothole_015,0.8701,24,744,1,2822.6,1378.72,192.72,94.76,,,,,pothole_015_frame_744.jpg
pothole_016,0.8188,25,775,29,2916.26,1617.61,212.16,124.36,,,,,pothole_016_frame_775.jpg
pothole_017,0.5166,33,1023,1,1149.38,1003.95,84.68,35.96,,,,,pothole_017_frame_1023.jpg
pothole_018,0.5561,38,1178,2,740.64,1002.64,85.62,37.68,,,,,pothole_018_frame_1178.jpg
pothole_019,0.5376,44,1364,1,971.8,1003.1,80.91,37.62,,,,,pothole_019_frame_1364.jpg
